Team,Opp,Date,Number,Round,Game,Location,W/L,Importance,Points,Oppo,Diff,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
Knicks ,MIA,5/17/2000,8,2,5,Away,L,0,81,87,-6,35,74,0.473,3,9,0.333,8,12,0.667,5,32,16,7,1,7,26,31,74,0.419,5,14,0.357,20,27,0.741,11,42,20,4,6,10,22,100.3,107.7,80.7,0.162,0.122,0.511,43.2,45.7,8.7,1.7,0.493,8.1,13.9,0.108,0.453,10.4,71.1,0.27
Knicks ,MIA,5/19/2000,9,2,6,Home,W,0,72,70,2,27,71,0.38,3,10,0.3,15,19,0.789,8,46,13,6,0,11,26,22,66,0.333,5,22,0.227,21,29,0.724,4,41,17,5,4,8,24,88.7,86.2,81.2,0.268,0.141,0.454,52.9,48.1,7.4,0,0.401,12.2,17.8,0.211,0.371,9.2,90.5,0.318
Knicks ,MIA,5/21/2000,10,2,7,Away,W,1,83,82,1,26,72,0.361,3,14,0.214,28,31,0.903,13,46,11,3,4,6,19,33,80,0.413,5,17,0.294,11,21,0.524,14,43,18,4,5,5,24,108.1,106.8,76.8,0.431,0.194,0.485,51.7,42.3,3.9,6.3,0.382,6.5,31,0.389,0.444,5.3,70.2,0.138
Knicks ,IND,5/23/2000,11,3,1,Away,L,0,88,102,-14,35,80,0.438,6,11,0.545,12,17,0.706,7,35,17,3,3,8,18,40,83,0.482,10,15,0.667,12,12,1,8,43,32,4,9,9,22,101.5,117.7,86.7,0.213,0.138,0.503,44.9,48.6,3.5,4.4,0.475,8.4,16.7,0.15,0.542,9.3,77.8,0.145
Knicks ,IND,5/25/2000,12,3,2,Away,L,0,84,88,-4,34,78,0.436,2,12,0.167,14,18,0.778,10,45,16,5,4,10,30,28,77,0.364,4,18,0.222,28,38,0.737,15,49,14,3,4,8,20,99.4,104.2,84.5,0.231,0.154,0.489,47.9,47.1,5.9,6.8,0.449,10.4,22.7,0.179,0.39,7.9,70,0.364
Knicks ,IND,5/27/2000,13,3,3,Home,W,0,98,95,3,39,74,0.527,2,8,0.25,18,24,0.75,5,28,15,7,2,7,19,36,70,0.514,7,16,0.438,16,18,0.889,4,33,19,2,3,15,19,114,110.5,86,0.324,0.108,0.579,45.9,38.5,8.1,3.7,0.541,7.6,14.7,0.243,0.564,16.1,85.2,0.229
Knicks ,IND,5/29/2000,14,3,4,Home,W,0,91,89,2,35,71,0.493,10,14,0.714,11,16,0.688,10,41,22,6,6,14,18,36,79,0.456,8,19,0.421,9,10,0.9,10,32,19,7,2,11,19,112.2,109.8,81.1,0.225,0.197,0.583,56.2,62.9,7.4,10,0.563,15.2,31.3,0.155,0.506,11.7,75.6,0.114
Knicks ,IND,5/31/2000,15,3,5,Away,L,0,79,88,-9,30,75,0.4,6,15,0.4,13,17,0.765,9,43,3,4,3,9,25,29,79,0.367,10,26,0.385,20,25,0.8,13,45,17,6,6,7,18,97.9,109,80.7,0.227,0.2,0.479,48.9,10,5,5.7,0.44,9.8,22,0.173,0.43,7.2,72.3,0.253
Knicks ,IND,6/2/2000,16,3,6,Home,L,1,80,93,-13,31,74,0.419,4,10,0.4,14,19,0.737,5,34,17,6,4,13,26,29,74,0.392,7,22,0.318,28,31,0.903,8,42,14,8,2,11,22,91.1,105.9,87.8,0.257,0.135,0.486,44.7,54.8,6.8,7.7,0.446,13.6,12.8,0.189,0.439,11.2,78.4,0.378
Lakers,POR,4/25/1997,1,1,1,Home,W,0,95,77,18,37,75,0.493,3,9,0.333,18,30,0.6,9,41,28,6,5,8,24,30,73,0.411,3,18,0.167,14,26,0.538,11,40,18,4,7,13,26,111.8,90.6,85,0.4,0.12,0.539,50.6,75.7,7.1,9.1,0.513,8.3,23.7,0.24,0.432,13.3,74.4,0.192
Lakers,POR,4/27/1997,2,1,2,Home,W,0,107,93,14,36,62,0.581,6,13,0.462,29,38,0.763,5,32,26,8,6,10,19,38,75,0.507,4,18,0.222,13,19,0.684,11,34,24,8,4,13,26,128.6,111.8,83.2,0.613,0.21,0.68,48.5,72.2,9.6,10.5,0.629,11.3,17.9,0.468,0.533,13.5,71.1,0.173
Lakers,POR,4/30/1997,3,1,3,Away,L,1,90,98,-8,30,72,0.417,4,16,0.25,26,42,0.619,16,46,18,5,5,19,26,30,72,0.417,7,16,0.438,31,40,0.775,10,38,17,8,3,11,33,100.4,109.4,89.6,0.583,0.222,0.497,54.8,60,5.6,8.9,0.444,17.4,36.4,0.361,0.465,10.9,75,0.431
Lakers,POR,5/2/1997,4,1,4,Away,W,1,95,91,4,28,69,0.406,1,11,0.091,38,44,0.864,15,38,16,9,5,12,25,33,72,0.458,4,16,0.25,21,24,0.875,15,36,20,2,3,21,30,114.1,109.3,83.2,0.638,0.159,0.538,51.4,57.1,10.8,8.9,0.413,12,41.7,0.551,0.486,20.3,60.5,0.292
Lakers,UTA,5/4/1997,5,2,1,Away,L,0,77,93,-16,27,79,0.342,8,21,0.381,15,21,0.714,11,40,16,9,5,15,29,33,72,0.458,7,16,0.438,20,34,0.588,15,51,24,10,7,15,17,87.6,105.8,87.9,0.266,0.266,0.436,44,59.3,10.2,8.9,0.392,14.5,23.4,0.19,0.507,14.7,65.9,0.278
Lakers,UTA,5/6/1997,6,2,2,Away,L,0,101,103,-2,36,73,0.493,11,18,0.611,18,26,0.692,15,33,24,4,5,15,24,33,65,0.508,4,13,0.308,33,38,0.868,12,38,26,7,8,13,27,123.6,126.1,81.7,0.356,0.247,0.598,46.5,66.7,4.9,9.6,0.568,15.1,36.6,0.247,0.538,13.7,60,0.508
Lakers,UTA,5/8/1997,7,2,3,Home,W,0,104,84,20,35,72,0.486,0,12,0,34,42,0.81,10,47,20,6,9,16,33,23,80,0.288,3,16,0.188,35,43,0.814,13,37,18,4,4,14,33,110.3,89.1,94.2,0.583,0.167,0.575,56,57.1,6.4,14.1,0.486,15,29.4,0.472,0.306,12.4,74,0.438
Lakers,UTA,5/10/1997,8,2,4,Home,L,0,95,110,-15,29,64,0.453,7,18,0.389,30,41,0.732,5,30,23,7,9,12,30,37,82,0.451,6,15,0.4,30,34,0.882,11,41,27,9,3,11,27,106.2,122.9,89.5,0.641,0.281,0.579,42.3,79.3,7.8,13.4,0.508,12.8,14.3,0.469,0.488,10.2,69.4,0.366
Lakers,UTA,5/12/1997,9,2,5,Away,L,1,93,98,-5,32,83,0.386,4,19,0.211,25,31,0.806,15,43,14,7,6,7,31,32,72,0.444,4,13,0.308,30,37,0.811,11,43,18,2,9,13,30,107.7,113.5,78.2,0.373,0.229,0.481,50,43.8,8.1,10.2,0.41,6.8,31.9,0.301,0.472,12.8,71.8,0.417
Lakers,POR,4/24/1998,1,1,1,Home,W,0,104,102,2,34,71,0.479,5,17,0.294,31,43,0.721,10,36,19,12,14,16,28,36,74,0.486,5,12,0.417,25,31,0.806,12,41,26,7,6,22,33,109.7,107.6,94.8,0.606,0.239,0.578,46.8,55.9,12.7,22.6,0.514,15.1,25.6,0.437,0.52,20.1,68.4,0.338
