id,year,age,tm,lg,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gdp,hbp,sh,sf,ibb
BondsBa,2002,37,SFG,NL,143,612,403,117,149,31,2,46,110,9,2,198,47,0.37,0.582,0.799,1.381,268,322,4,9,0,2,68
BondsBa,2003,38,SFG,NL,130,550,390,111,133,22,1,45,90,7,0,148,58,0.341,0.529,0.749,1.278,231,292,7,10,0,2,61
BondsBa,2004,39,SFG,NL,147,617,373,129,135,27,3,45,101,6,1,232,41,0.362,0.609,0.812,1.422,263,303,5,9,0,3,120
BondsBa,2005,40,SFG,NL,14,52,42,8,12,1,0,5,10,0,0,9,6,0.286,0.404,0.667,1.071,174,28,0,0,0,1,3
BondsBa,2006,41,SFG,NL,130,493,367,74,99,23,0,26,77,3,0,115,51,0.27,0.454,0.545,0.999,156,200,9,10,0,1,38
BondsBa,2007,42,SFG,NL,126,477,340,75,94,14,0,28,66,5,0,132,54,0.276,0.48,0.565,1.045,169,192,13,3,0,2,43
McGwiMa,1986,22,OAK,AL,18,58,53,10,10,1,0,3,9,0,1,4,18,0.189,0.259,0.377,0.636,77,20,0,1,0,0,0
McGwiMa,1987,23,OAK,AL,151,641,557,97,161,28,4,49,118,1,1,71,131,0.289,0.37,0.618,0.987,164,344,6,5,0,8,8
McGwiMa,1988,24,OAK,AL,155,635,550,87,143,22,1,32,99,0,0,76,117,0.26,0.352,0.478,0.83,134,263,15,4,1,4,4
McGwiMa,1989,25,OAK,AL,143,587,490,74,113,17,0,33,95,1,1,83,94,0.231,0.339,0.467,0.806,129,229,23,3,0,11,5
McGwiMa,1990,26,OAK,AL,156,650,523,87,123,16,0,39,108,2,1,110,116,0.235,0.37,0.489,0.859,144,256,13,7,1,9,9
McGwiMa,1991,27,OAK,AL,154,585,483,62,97,22,0,22,75,2,1,93,116,0.201,0.33,0.383,0.714,103,185,13,3,1,5,3
McGwiMa,1992,28,OAK,AL,139,571,467,87,125,22,0,42,104,0,1,90,105,0.268,0.385,0.585,0.97,176,273,10,5,0,9,12
McGwiMa,1993,29,OAK,AL,27,107,84,16,28,6,0,9,24,0,1,21,19,0.333,0.467,0.726,1.193,225,61,0,1,0,1,5
McGwiMa,1994,30,OAK,AL,47,172,135,26,34,3,0,9,25,0,0,37,40,0.252,0.413,0.474,0.887,138,64,3,0,0,0,3
McGwiMa,1995,31,OAK,AL,104,422,317,75,87,13,0,39,90,1,1,88,77,0.274,0.441,0.685,1.125,200,217,9,11,0,6,5
McGwiMa,1996,32,OAK,AL,130,548,423,104,132,21,0,52,113,0,0,116,112,0.312,0.467,0.73,1.198,196,309,14,8,0,1,16
McGwiMa,1997,33,TOT,MLB,156,657,540,86,148,27,0,58,123,3,0,101,159,0.274,0.393,0.646,1.039,170,349,9,9,0,7,16
McGwiMa,1997,33,OAK,AL,105,433,366,48,104,24,0,34,81,1,0,58,98,0.284,0.383,0.628,1.012,164,230,9,4,0,5,8
McGwiMa,1997,33,STL,NL,51,224,174,38,44,3,0,24,42,2,0,43,61,0.253,0.411,0.684,1.095,182,119,0,5,0,2,8
McGwiMa,1998,34,STL,NL,155,681,509,130,152,21,0,70,147,1,0,162,155,0.299,0.47,0.752,1.222,216,383,8,6,0,4,28
McGwiMa,1999,35,STL,NL,153,661,521,118,145,21,1,65,147,0,0,133,141,0.278,0.424,0.697,1.12,176,363,12,2,0,5,21
McGwiMa,2000,36,STL,NL,89,321,236,60,72,8,0,32,73,1,0,76,78,0.305,0.483,0.746,1.229,203,176,5,7,0,2,12
McGwiMa,2001,37,STL,NL,97,364,299,48,56,4,0,29,64,0,0,56,118,0.187,0.316,0.492,0.808,105,147,7,3,0,6,3
MatsuiHi,2003,29,NYY,AL,163,695,623,82,179,42,1,16,106,2,2,63,86,0.287,0.353,0.435,0.788,109,271,25,3,0,6,5
MatsuiHi,2004,30,NYY,AL,162,680,584,109,174,34,2,31,108,3,0,88,103,0.298,0.39,0.522,0.912,137,305,11,3,0,5,2
MatsuiHi,2005,31,NYY,AL,162,704,629,108,192,45,3,23,116,2,2,63,78,0.305,0.367,0.496,0.863,130,312,16,3,0,8,7
MatsuiHi,2006,32,NYY,AL,51,201,172,32,52,9,0,8,29,1,0,27,23,0.302,0.393,0.494,0.887,128,85,6,0,0,2,2
MatsuiHi,2007,33,NYY,AL,143,634,547,100,156,28,4,25,103,4,2,73,73,0.285,0.367,0.488,0.855,123,267,9,3,0,10,2
MatsuiHi,2008,34,NYY,AL,93,378,337,43,99,17,0,9,45,0,0,38,47,0.294,0.37,0.424,0.795,108,143,10,3,0,0,6
MatsuiHi,2009,35,NYY,AL,142,528,456,62,125,21,1,28,90,0,1,64,75,0.274,0.367,0.509,0.876,123,232,4,4,0,2,1
MatsuiHi,2010,36,LAA,AL,145,558,482,55,132,24,1,21,84,0,1,67,98,0.274,0.361,0.459,0.82,126,221,10,1,0,4,6
MatsuiHi,2011,37,OAK,AL,141,585,517,58,130,28,0,12,72,1,1,56,84,0.251,0.321,0.375,0.696,93,194,10,1,0,9,3
MatsuiHi,2012,38,TBR,AL,34,103,95,7,14,1,0,2,7,0,0,8,22,0.147,0.214,0.221,0.435,23,21,5,0,0,0,1
RodriAl,1994,18,SEA,AL,17,59,54,4,11,0,0,0,2,3,0,3,20,0.204,0.241,0.204,0.445,16,11,0,0,1,1,0
RodriAl,1995,19,SEA,AL,48,149,142,15,33,6,2,5,19,4,2,6,42,0.232,0.264,0.408,0.672,72,58,0,0,1,0,0
RodriAl,1996,20,SEA,AL,146,677,601,141,215,54,1,36,123,15,4,59,104,0.358,0.414,0.631,1.045,161,379,15,4,6,7,1
RodriAl,1997,21,SEA,AL,141,638,587,100,176,40,3,23,84,29,6,41,99,0.3,0.35,0.496,0.846,120,291,14,5,4,1,1
RodriAl,1998,22,SEA,AL,161,748,686,123,213,35,5,42,124,46,13,45,121,0.31,0.36,0.56,0.919,136,384,12,10,3,4,0
RodriAl,1999,23,SEA,AL,129,572,502,110,143,25,0,42,111,21,7,56,109,0.285,0.357,0.586,0.943,134,294,12,5,1,8,2
RodriAl,2000,24,SEA,AL,148,672,554,134,175,34,2,41,132,15,4,100,121,0.316,0.42,0.606,1.026,163,336,10,7,0,11,5
RodriAl,2001,25,TEX,AL,162,732,632,133,201,34,1,52,135,18,3,75,131,0.318,0.399,0.622,1.021,160,393,17,16,0,9,6
RodriAl,2002,26,TEX,AL,162,725,624,125,187,27,2,57,142,9,4,87,122,0.3,0.392,0.623,1.015,158,389,14,10,0,4,12
RodriAl,2003,27,TEX,AL,161,715,607,124,181,30,6,47,118,17,3,87,126,0.298,0.396,0.6,0.995,147,364,16,15,0,6,10
RodriAl,2004,28,NYY,AL,155,698,601,112,172,24,2,36,106,28,4,80,131,0.286,0.375,0.512,0.888,131,308,18,10,0,7,6
RodriAl,2005,29,NYY,AL,162,715,605,124,194,29,1,48,130,21,6,91,139,0.321,0.421,0.61,1.031,173,369,8,16,0,3,8
RodriAl,2006,30,NYY,AL,154,674,572,113,166,26,1,35,121,15,4,90,139,0.29,0.392,0.523,0.914,134,299,22,8,0,4,8
