"Month","Year","Dest","Freq","ArrDelay","NDays"
1,1993,"CDV",60,529,31
1,1993,"CHA",317,1057,31
1,1993,"CHS",738,4663,31
1,1993,"CID",424,2998,31
1,1993,"CLE",4904,19781,31
1,1993,"CLT",9792,13135,31
1,1993,"CMH",3214,11779,31
1,1995,"LGB",173,1607,31
1,1995,"LIT",1560,15599,31
1,2004,"SWF",186,2880,31
1,2004,"SYR",1147,16204,31
1,2004,"TLH",463,1907,31
1,2004,"TOL",500,6098,31
1,2004,"TPA",5807,27064,31
1,2004,"TRI",338,-108,31
1,2004,"TUL",1819,16634,31
1,2004,"TUS",1570,11882,31
1,1995,"MDW",4373,40396,31
1,1995,"MEM",4572,8458,31
1,1995,"MFE",333,3275,31
1,1995,"MFR",124,1885,31
1,1995,"MGM",216,1309,31
1,1995,"MHT",403,3242,31
1,1995,"MIA",6440,62487,31
1,1995,"MKE",1601,14613,31
1,1995,"MLB",306,3178,31
1,1995,"MLI",238,3095,31
1,1995,"MLU",186,1462,31
1,1995,"MOB",526,2683,31
1,2000,"HDN",201,1363,31
1,2000,"HLN",62,334,31
1,1993,"FAI",282,2633,31
1,1995,"BDL",2341,21311,31
1,1995,"BET",74,1064,31
1,1995,"BFL",62,876,31
1,1995,"BGM",124,1140,31
1,1995,"BGR",155,1129,31
1,1995,"BHM",1452,10539,31
1,1990,"LIT",1303,8243,31
1,1990,"LNK",416,3699,31
1,2004,"BTM",116,1583,31
1,2004,"BTR",639,1616,31
1,2004,"BTV",666,8324,31
1,2004,"BUF",2128,28248,31
1,2004,"BUR",2219,11688,31
1,2004,"BWI",8632,42307,31
1,2004,"BZN",400,4632,31
1,2004,"CAE",1049,8110,31
1,2004,"CAK",707,7196,31
1,2004,"CDC",61,1083,31
1,2004,"CDV",62,618,31
1,2004,"CEC",86,-369,31
1,2004,"CHA",420,2388,31
1,2004,"CHO",311,1586,31
1,1992,"STT",174,707,31
1,1992,"STX",159,2270,31
1,1992,"SUX",143,661,31
1,1992,"SWF",384,2625,31
1,1992,"SYR",1911,8414,31
1,1992,"TLH",597,2574,31
1,1992,"TOL",208,2128,31
1,1992,"TPA",4620,19068,31
1,1992,"TRI",231,1270,31
1,1992,"TTN",80,360,31
1,1992,"TUL",2162,5241,31
1,1990,"BZN",326,256,31
1,1990,"CAE",818,8182,31
1,1990,"CAK",237,2202,31
1,1990,"CCR",111,403,31
1,1990,"CDV",55,1050,31
1,1990,"CHA",416,1871,31
1,1990,"CHO",143,775,31
1,1990,"CHS",1047,8119,31
1,1990,"CID",478,2423,31
1,1990,"CLE",5724,35823,31
1,1990,"CLT",9819,60949,31
1,1990,"CMH",2137,14928,31
1,1990,"CMI",89,638,31
1,1990,"COS",845,5528,31
1,1990,"CPR",91,183,31
1,2001,"GEG",1118,13072,31
1,2001,"GFK",86,104,31
1,1988,"SFO",11062,183681,31
1,1988,"SGF",257,1097,31
1,1988,"SHV",593,7118,31
1,1988,"SIT",101,1073,31
1,1988,"SJC",3857,30047,31
1,1988,"SJU",1376,26090,31
1,1988,"SLC",5458,72439,31
1,1988,"SMF",2419,23551,31
1,1988,"SNA",2483,17213,31
